Transaction_ID,Customer_ID,Date_of_Birth,Gender,Email,Phone_Number,Address,Signup_Date,Purchase_DateTime,Product_ID,Product_Category,Product_Price,Quantity,Discount_Code,Payment_Method,Device_Used,Delivery_Time_days,Customer_Satisfaction,Review_Text
T100000,C1654,1983-11-20,Male,allison.hill@outlook.com,+92-312-3452982,"Quetta, Balochistan",2023-06-17,2025-05-03 03:16:06,P293,Toys,27614.6,2,NEW10,JazzCash,Desktop,10,5,General soldier discuss stock lead green total.
T100001,C1114,1974-04-06,Female,noah.rhodes@outlook.com,+92-327-1296308,"Peshawar, Khyber Pakhtunkhwa",2022-08-31,2025-04-04 12:19:44,P481,Books,22276.03,5,,Debit Card,Tablet,5,10,Particularly difference.
T100002,C1025,1976-10-25,Female,angie.henderson@outlook.com,+92-339-4349462,"Sialkot, Punjab",2024-03-10,2025-07-03 22:03:19,P492,Clothing,10427.08,4,FREESHIP,Easypaisa,Mobile,6,9,Raise prepare wrong bed radio.
T100003,C1759,1980-12-26,Male,daniel.wagner@yahoo.com,+92-305-1854889,"Rawalpindi, Punjab",2022-01-19,2025-05-31 07:45:17,P915,Sports,1338.14,1,SALE20,Easypaisa,Tablet,7,8,
T100004,C1281,1976-07-12,Male,cristian.santos@yahoo.com,+92-324-7833312,"Peshawar, Khyber Pakhtunkhwa",2024-11-05,2024-12-24 04:23:26,P195,Beauty,7946.62,4,NEW10,Easypaisa,Tablet,5,7,Like her part team city see most.
T100005,C1250,2006-05-20,Male,connie.lawrence@yahoo.com,+92-333-6141309,"Peshawar, Khyber Pakhtunkhwa",2021-10-09,2025-08-04 03:03:57,P395,Home Decor,1041.33,1,DISCOUNT5,JazzCash,Desktop,5,3,Want ahead easy.
T100006,C1228,1966-12-28,Female,abigail.shaffer@outlook.com,+92-344-4882711,"Rawalpindi, Punjab",2025-06-19,2025-06-24 14:30:31,P163,Electronics,24053.54,3,NEW10,Cash,Tablet,7,1,Start at hit class nothing soon data budget main may happen newspaper.
T100007,C1142,1964-08-05,Female,gina.moore@outlook.com,+92-314-6640128,"Faisalabad, Punjab",2024-09-11,2025-05-29 04:34:26,P841,Groceries,4147.82,5,SALE20,JazzCash,Mobile,5,10,
T100008,C1754,1957-09-14,Female,gabrielle.davis@gmail.com,+92-327-9039562,"Rawalpindi, Punjab",2023-05-28,2025-05-09 10:46:24,P340,Toys,12042.21,1,SALE20,Debit Card,Desktop,6,4,Why individual wide hotel west theory American doctor hour check.
T100009,C1104,2004-11-03,Female,ryan.munoz@hotmail.com,+92-303-9554093,"Sialkot, Punjab",2024-05-09,2025-06-12 20:33:56,P666,Sports,20077.58,2,DISCOUNT5,Credit Card,Mobile,3,9,
T100010,C1692,2004-08-04,Male,monica.herrera@yahoo.com,+92-327-1866635,"Islamabad, Capital Territory",2021-04-13,2024-11-30 03:42:27,P396,Electronics,5616.95,2,NEW10,Cash,Tablet,4,4,Mention hour gun field expert several effort prevent kid issue woman range painting country.
T100011,C1758,1969-03-09,Female,jamie.arnold@outlook.com,+92-319-2846415,"Multan, Punjab",2022-07-18,2025-06-29 18:49:05,P426,Electronics,5902.91,3,,Cash,Tablet,10,8,
T100012,C1913,1984-02-24,Female,lisa.hensley@outlook.com,+92-317-7099795,"Islamabad, Capital Territory",2022-09-11,2025-08-18 06:33:07,P765,Electronics,31653.51,1,NEW10,Easypaisa,Tablet,1,4,Nothing gas few page cold couple suffer history.
T100013,C1558,1990-03-06,Female,michele.williams@hotmail.com,+92-317-6889214,"Sialkot, Punjab",2023-09-21,2025-09-27 01:05:09,P349,Home Decor,33461.42,4,,Debit Card,Mobile,1,10,Think brother far chair describe in case stock gas pressure receive.
T100014,C1089,1973-10-14,Female,dylan.miller@yahoo.com,+92-345-8014121,"Multan, Punjab",2025-07-17,2024-12-27 22:03:43,P756,Electronics,1587.29,3,SALE20,Easypaisa,Desktop,5,7,Pull big method message though always.
T100015,C1604,1993-12-27,Female,brian.ramirez@yahoo.com,+92-315-6366039,"Sialkot, Punjab",2022-03-07,2025-08-28 02:01:13,P187,Sports,42516.29,3,SALE20,Credit Card,Tablet,2,6,We order reach better performance imagine police right traditional represent price number herself.
T100016,C1432,1996-09-24,Male,holly.wood@gmail.com,+92-303-4049286,"Peshawar, Khyber Pakhtunkhwa",2024-02-12,2025-05-11 10:33:08,P703,Beauty,36963.74,4,,JazzCash,Tablet,6,3,
T100017,C1032,1976-03-29,Male,derek.zuniga@outlook.com,+92-302-1008991,"Lahore, Punjab",2025-04-01,2024-11-09 09:50:10,P622,Beauty,27449.67,3,SALE20,Bank Transfer,Desktop,3,5,Cut fund dream care whole writer water.
T100018,C1030,1961-08-14,Female,lisa.jackson@gmail.com,+92-303-6396217,"Lahore, Punjab",2024-07-09,2025-02-20 07:24:02,P873,Clothing,40402.55,4,,Easypaisa,Desktop,5,3,
